Month,Agency,Ridership
2014-04-01,MetroNorth,7018716.0
2014-05-01,Briges & Tunnels,25942604.0
2014-05-01,MetroNorth,7028443.0
2014-06-01,Briges & Tunnels,25646106.0
2014-06-01,MetroNorth,7213680.0
2014-07-01,Briges & Tunnels,25704941.0
2014-07-01,MetroNorth,7366433.0
2014-08-01,Briges & Tunnels,26211080.0
2014-08-01,MetroNorth,6935605.0
2014-09-01,Briges & Tunnels,24762381.0
2014-09-01,MetroNorth,7072104.0
2014-10-01,Briges & Tunnels,25472271.0
2014-10-01,MetroNorth,7499635.0
2014-11-01,Briges & Tunnels,23646478.0
2014-11-01,MetroNorth,6555045.0
2014-12-01,Briges & Tunnels,24479703.0
2014-12-01,MetroNorth,7356438.0
2015-01-01,Briges & Tunnels,21240641.0
2015-01-01,MetroNorth,6173387.0
2015-02-01,Briges & Tunnels,20223868.0
2015-02-01,MetroNorth,5849842.0
2015-03-01,Briges & Tunnels,24114600.0
2015-03-01,MetroNorth,7018867.0
2015-04-01,Briges & Tunnels,25092481.0
2015-04-01,MetroNorth,7134749.0
2015-05-01,Briges & Tunnels,26787746.0
2015-05-01,MetroNorth,7034781.0
2015-06-01,Briges & Tunnels,26408745.0
2015-06-01,MetroNorth,7450980.0
2015-07-01,Briges & Tunnels,27166917.0
2015-07-01,MetroNorth,7487082.0
2015-08-01,Briges & Tunnels,27435839.0
2015-08-01,MetroNorth,7050090.0
2015-09-01,Briges & Tunnels,25455237.0
2015-09-01,MetroNorth,7199158.0
2015-10-01,Briges & Tunnels,26488811.0
2015-10-01,MetroNorth,7513133.0
2015-11-01,Briges & Tunnels,25048798.0
2015-11-01,MetroNorth,6859735.0
2015-12-01,Briges & Tunnels,25657663.0
2015-12-01,MetroNorth,7486227.0
2016-01-01,Briges & Tunnels,22457720.0
2016-01-01,MetroNorth,6340920.0
2016-02-01,Briges & Tunnels,22617310.0
2016-02-01,MetroNorth,6313644.0
2016-03-01,Briges & Tunnels,25954972.0
2016-03-01,MetroNorth,7378875.0
2016-04-01,Briges & Tunnels,25720788.0
2016-04-01,MetroNorth,6980262.0
2016-05-01,Briges & Tunnels,27305121.0
2016-05-01,MetroNorth,7052626.0
2016-06-01,Briges & Tunnels,27547017.0
2016-06-01,MetroNorth,7526378.0
2016-07-01,Briges & Tunnels,27528163.0
2016-07-01,MetroNorth,7097402.0
2016-08-01,Briges & Tunnels,27874573.0
2016-08-01,MetroNorth,7288957.0
2016-09-01,Briges & Tunnels,26310302.0
2016-09-01,MetroNorth,7123552.0
2016-10-01,Briges & Tunnels,26274222.0
2016-10-01,MetroNorth,7321189.0
2016-11-01,Briges & Tunnels,25382048.0
2016-11-01,MetroNorth,7104083.0
2016-12-01,Briges & Tunnels,25523374.0
2016-12-01,MetroNorth,7280395.0
2017-01-01,Briges & Tunnels,23678030.0
2017-01-01,MetroNorth,6740205.0
2017-02-01,Briges & Tunnels,21817096.0
2017-02-01,MetroNorth,6255704.0
2017-03-01,Briges & Tunnels,24825216.0
2017-03-01,MetroNorth,7308653.0
2017-04-01,Briges & Tunnels,25563307.0
2017-04-01,MetroNorth,7015523.0
2017-05-01,Briges & Tunnels,26934051.0
2017-05-01,MetroNorth,7464531.0
2017-06-01,Briges & Tunnels,27312088.0
2017-06-01,MetroNorth,7708077.0
2017-07-01,Briges & Tunnels,27666919.0
2017-07-01,MetroNorth,7244976.0
2017-08-01,Briges & Tunnels,28400644.0
2017-08-01,MetroNorth,7507575.0
2017-09-01,Briges & Tunnels,26685639.0
2017-09-01,MetroNorth,7083644.0
2017-10-01,Briges & Tunnels,27200556.0
2017-10-01,MetroNorth,7730577.0
2017-11-01,Briges & Tunnels,26080331.0
2017-11-01,MetroNorth,7277877.0
2017-12-01,Briges & Tunnels,25865411.0
2017-12-01,MetroNorth,7160806.0
2018-01-01,Briges & Tunnels,23864492.0
2018-01-01,Bus,45398837.0
2018-01-01,MetroNorth,6764660.0
2018-01-01,Subway,134683435.0
2018-02-01,Briges & Tunnels,22860783.0
2018-02-01,Bus,44719811.0
2018-02-01,MetroNorth,6246009.0
2018-02-01,Subway,127432835.0
2018-03-01,Briges & Tunnels,25806229.0
2018-03-01,Bus,49751875.0
2018-03-01,MetroNorth,7136383.0
2018-03-01,Subway,143982923.0
2018-04-01,Briges & Tunnels,26642983.0
2018-04-01,Bus,48544481.0
2018-04-01,MetroNorth,7114637.0
2018-04-01,Subway,141950369.0
2018-05-01,Briges & Tunnels,28357016.0
2018-05-01,Bus,51833732.0
2018-05-01,MetroNorth,7544006.0
2018-05-01,Subway,150320833.0
2018-06-01,Briges & Tunnels,28668259.0
2018-06-01,Bus,47637082.0
2018-06-01,MetroNorth,7596231.0
2018-06-01,Subway,142709768.0
2018-07-01,Briges & Tunnels,28683283.0
2018-07-01,Bus,46047617.0
2018-07-01,MetroNorth,7403479.0
2018-07-01,Subway,136167499.0
2018-08-01,Briges & Tunnels,29401598.0
2018-08-01,Bus,46810522.0
2018-08-01,MetroNorth,7456258.0
2018-08-01,Subway,136806572.0
2018-09-01,Briges & Tunnels,27293147.0
2018-09-01,Bus,46842647.0
2018-09-01,MetroNorth,6935011.0
2018-09-01,Subway,134989959.0
2018-10-01,Briges & Tunnels,28425771.0
2018-10-01,Bus,51989419.0
2018-10-01,MetroNorth,7865799.0
2018-10-01,Subway,154116408.0
2018-11-01,Briges & Tunnels,26701191.0
2018-11-01,Bus,45751957.0
2018-11-01,MetroNorth,7230193.0
2018-11-01,Subway,140711661.0
2018-12-01,Briges & Tunnels,27066586.0
2018-12-01,Bus,44033258.0
2018-12-01,MetroNorth,7229500.0
2018-12-01,Subway,136188140.0
2019-01-01,Acces_A_Ride,880435.93
2019-01-01,Briges & Tunnels,25005762.0
2019-01-01,Long_Island_Railroad,7166693.19
2019-01-01,MetroNorth,6860311.5
2019-01-01,Bus,9666625.0
2019-01-01,Bus,44510954.36
2019-01-01,Staten_Island_Railway,380333.5
2019-01-01,Subway,134509588.0
2019-02-01,Acces_A_Ride,856934.89
2019-02-01,Briges & Tunnels,23532562.0
2019-02-01,Long_Island_Railroad,6544350.5
2019-02-01,MetroNorth,6200043.5
2019-02-01,Bus,9024999.0
2019-02-01,Bus,42164341.64
2019-02-01,Staten_Island_Railway,328975.5
2019-02-01,Subway,126352020.0
2019-03-01,Acces_A_Ride,941311.4
2019-03-01,Briges & Tunnels,27332093.0
2019-03-01,Long_Island_Railroad,7515113.2
2019-03-01,MetroNorth,7098004.4
2019-03-01,Bus,10350031.0
2019-03-01,Bus,48332718.0
2019-03-01,Staten_Island_Railway,380047.0
2019-03-01,Subway,143728590.0
2019-04-01,Acces_A_Ride,931926.94
2019-04-01,Briges & Tunnels,27419476.0
2019-04-01,Long_Island_Railroad,7724038.0
2019-04-01,MetroNorth,7437206.6
2019-04-01,Bus,10235110.0
2019-04-01,Bus,47233653.0
2019-04-01,Staten_Island_Railway,356288.0
2019-04-01,Subway,145010815.0
2019-05-01,Acces_A_Ride,916715.62
2019-05-01,Briges & Tunnels,29249471.0
2019-05-01,Long_Island_Railroad,7974946.0
2019-05-01,MetroNorth,7587278.67
2019-05-01,Bus,10805557.0
2019-05-01,Bus,49821536.75
2019-05-01,Staten_Island_Railway,420191.0
2019-05-01,Subway,150784681.0
2019-06-01,Acces_A_Ride,930320.27
2019-06-01,Briges & Tunnels,28792254.0
2019-06-01,Long_Island_Railroad,7736345.0
2019-06-01,MetroNorth,7369572.0
2019-06-01,Bus,9625988.0
2019-06-01,Bus,45813003.36
2019-06-01,Staten_Island_Railway,348056.0
2019-06-01,Subway,141446659.0
2019-07-01,Acces_A_Ride,882897.64
2019-07-01,Briges & Tunnels,28857383.0
2019-07-01,Long_Island_Railroad,7990884.0
2019-07-01,MetroNorth,7550014.550000001
2019-07-01,Bus,10158037.67
2019-07-01,Bus,46280661.24
2019-07-01,Staten_Island_Railway,331576.0
2019-07-01,Subway,139447012.0
2019-08-01,Acces_A_Ride,804320.42
2019-08-01,Briges & Tunnels,29442733.0
2019-08-01,Long_Island_Railroad,7921403.0
2019-08-01,MetroNorth,7297196.8
2019-08-01,Bus,10017322.51
2019-08-01,Bus,45683643.5
2019-08-01,Staten_Island_Railway,312310.0
2019-08-01,Subway,137301528.0
2019-09-01,Acces_A_Ride,874644.92
2019-09-01,Briges & Tunnels,27785633.0
2019-09-01,Long_Island_Railroad,7540043.0
2019-09-01,MetroNorth,7164148.0600000005
2019-09-01,Bus,10392960.81
2019-09-01,Bus,48114705.85
2019-09-01,Staten_Island_Railway,365659.0
2019-09-01,Subway,143268789.0
2019-10-01,Acces_A_Ride,980716.22
2019-10-01,Briges & Tunnels,28109963.0
2019-10-01,Long_Island_Railroad,8108240.0
2019-10-01,MetroNorth,7823079.0
2019-10-01,Bus,10953854.95
2019-10-01,Bus,50451610.33
2019-10-01,Staten_Island_Railway,401647.0
2019-10-01,Subway,155315738.0
2019-11-01,Acces_A_Ride,928407.62
2019-11-01,Briges & Tunnels,26913543.0
2019-11-01,Long_Island_Railroad,7215882.0
2019-11-01,MetroNorth,6984562.99
2019-11-01,Bus,9814744.4
2019-11-01,Bus,45349394.35
2019-11-01,Staten_Island_Railway,339080.0
2019-11-01,Subway,140724722.0
2019-12-01,Acces_A_Ride,989585.54
2019-12-01,Briges & Tunnels,26955736.0
2019-12-01,Long_Island_Railroad,7667200.0
2019-12-01,MetroNorth,7222951.689999999
2019-12-01,Bus,9386745.42
2019-12-01,Bus,43280282.22
2019-12-01,Staten_Island_Railway,336326.0
2019-12-01,Subway,139896860.0
2020-01-01,Acces_A_Ride,937440.0
2020-01-01,Briges & Tunnels,25368494.0
2020-01-01,Long_Island_Railroad,7171718.66
2020-01-01,MetroNorth,6907349.779999999
2020-01-01,Bus,9814827.67
2020-01-01,Bus,45145397.0
2020-01-01,Staten_Island_Railway,360943.0
2020-01-01,Subway,138446295.0
2020-02-01,Acces_A_Ride,966447.0
2020-02-01,Briges & Tunnels,24540667.0
2020-02-01,Long_Island_Railroad,6640006.7
2020-02-01,MetroNorth,6275717.1
2020-02-01,Bus,9290691.83
2020-02-01,Bus,43129229.34
2020-02-01,Staten_Island_Railway,321294.0
2020-02-01,Subway,130902123.0
2020-03-01,Acces_A_Ride,649701.0
2020-03-01,Briges & Tunnels,18934838.0
2020-03-01,Long_Island_Railroad,3274069.01
2020-03-01,MetroNorth,2797794.64
2020-03-01,Bus,5719194.8
2020-03-01,Bus,26152590.13
2020-03-01,Staten_Island_Railway,200584.0
2020-03-01,Subway,73639342.0
2020-04-01,Acces_A_Ride,209889.0
2020-04-01,Briges & Tunnels,9730391.0
2020-04-01,Long_Island_Railroad,253571.4
2020-04-01,MetroNorth,448977.0
2020-04-01,Bus,109246.69
2020-04-01,Bus,362266.19
2020-04-01,Staten_Island_Railway,19677.0
2020-04-01,Subway,11795394.0
2020-05-01,Acces_A_Ride,289460.0
2020-05-01,Briges & Tunnels,14953991.0
2020-05-01,Long_Island_Railroad,515917.86
2020-05-01,MetroNorth,511064.32
2020-05-01,Bus,120994.94
2020-05-01,Bus,289710.71
2020-05-01,Staten_Island_Railway,23457.0
2020-05-01,Subway,15316407.0
2020-06-01,Acces_A_Ride,410329.0
2020-06-01,Briges & Tunnels,20001850.0
2020-06-01,Long_Island_Railroad,1113087.0
2020-06-01,MetroNorth,924832.8
2020-06-01,Bus,200771.02
2020-06-01,Bus,457603.84
2020-06-01,Staten_Island_Railway,41174.0
2020-06-01,Subway,23911163.0
2020-07-01,Acces_A_Ride,498287.0
2020-07-01,Briges & Tunnels,23322086.0
2020-07-01,Long_Island_Railroad,1621374.7
2020-07-01,MetroNorth,1315415.97
2020-07-01,Bus,269627.51
2020-07-01,Bus,558480.32
2020-07-01,Staten_Island_Railway,62304.0
2020-07-01,Subway,32482176.0
2020-08-01,Acces_A_Ride,560794.0
2020-08-01,Briges & Tunnels,24423978.0
2020-08-01,Long_Island_Railroad,1747283.8
2020-08-01,MetroNorth,1383737.8
2020-08-01,Bus,433842.89
2020-08-01,Bus,1175266.5
2020-08-01,Staten_Island_Railway,64780.0
2020-08-01,Subway,35153119.0
2020-09-01,Acces_A_Ride,593471.0
2020-09-01,Briges & Tunnels,24002326.0
2020-09-01,Long_Island_Railroad,2041823.15
2020-09-01,MetroNorth,1699992.38
2020-09-01,Bus,5020533.0
2020-09-01,Bus,23046563.0
2020-09-01,Staten_Island_Railway,77710.0
2020-09-01,Subway,42660693.0
2020-10-01,Acces_A_Ride,708229.0
2020-10-01,Briges & Tunnels,24436257.0
2020-10-01,Long_Island_Railroad,2174852.8
2020-10-01,MetroNorth,1866938.8
2020-10-01,Bus,5397034.0
2020-10-01,Bus,24717226.0
2020-10-01,Staten_Island_Railway,97118.0
2020-10-01,Subway,47957127.0
2020-11-01,Acces_A_Ride,649352.0
2020-11-01,Briges & Tunnels,21889990.0
2020-11-01,Long_Island_Railroad,1896355.0
2020-11-01,MetroNorth,1569464.79
2020-11-01,Bus,4826314.0
2020-11-01,Bus,22223328.0
2020-11-01,Staten_Island_Railway,77847.0
2020-11-01,Subway,43618698.0
2020-12-01,Acces_A_Ride,643662.0
2020-12-01,Briges & Tunnels,21579179.0
2020-12-01,Long_Island_Railroad,1860130.0
2020-12-01,MetroNorth,1468620.33
2020-12-01,Bus,4717722.0
2020-12-01,Bus,21589388.0
2020-12-01,Staten_Island_Railway,78744.0
2020-12-01,Subway,43658492.0
2021-01-01,Acces_A_Ride,614035.0
2021-01-01,Briges & Tunnels,21014716.0
2021-01-01,Long_Island_Railroad,1730014.4500000002
2021-01-01,MetroNorth,1386554.76
2021-01-01,Bus,4513258.0
2021-01-01,Bus,20769132.0
2021-01-01,Staten_Island_Railway,81492.0
2021-01-01,Subway,41123531.0
2021-02-01,Acces_A_Ride,495819.0
2021-02-01,Briges & Tunnels,18255564.0
2021-02-01,Long_Island_Railroad,1586864.5
2021-02-01,MetroNorth,1301931.5
2021-02-01,Bus,4144587.0
2021-02-01,Bus,18822957.0
2021-02-01,Staten_Island_Railway,77293.0
2021-02-01,Subway,39170408.0
2021-03-01,Acces_A_Ride,669737.0
2021-03-01,Briges & Tunnels,24335629.0
2021-03-01,Long_Island_Railroad,2092132.0
2021-03-01,MetroNorth,1738475.0
2021-03-01,Bus,5364129.0
2021-03-01,Bus,24533046.0
2021-03-01,Staten_Island_Railway,91130.0
2021-03-01,Subway,51395341.0
2021-04-01,Acces_A_Ride,664966.0
2021-04-01,Briges & Tunnels,24896449.0
2021-04-01,Long_Island_Railroad,2199647.8
2021-04-01,MetroNorth,1887715.4
2021-04-01,Bus,5470547.0
2021-04-01,Bus,25009678.0
2021-04-01,Staten_Island_Railway,108921.0
2021-04-01,Subway,53236649.0
2021-05-01,Acces_A_Ride,675114.02
2021-05-01,Briges & Tunnels,26848127.0
2021-05-01,Long_Island_Railroad,2511071.32
2021-05-01,MetroNorth,2261760.96
2021-05-01,Bus,5769080.1
2021-05-01,Bus,25960719.38
2021-05-01,Staten_Island_Railway,98984.0
2021-05-01,Subway,58397777.0
2021-06-01,Acces_A_Ride,699059.0
2021-06-01,Briges & Tunnels,27835062.0
2021-06-01,Long_Island_Railroad,3107639.8
2021-06-01,MetroNorth,2752694.4
2021-06-01,Bus,6114454.0
2021-06-01,Bus,26925261.0
2021-06-01,Staten_Island_Railway,112775.0
2021-06-01,Subway,65475928.0
2021-07-01,Acces_A_Ride,677175.59
2021-07-01,Briges & Tunnels,28032603.0
2021-07-01,Long_Island_Railroad,3309454.25
2021-07-01,MetroNorth,2938881.6100000003
2021-07-01,Bus,6195930.0
2021-07-01,Bus,26905110.0
2021-07-01,Staten_Island_Railway,115520.0
2021-07-01,Subway,66973313.0
2021-08-01,Acces_A_Ride,680625.0
2021-08-01,Briges & Tunnels,28090238.0
2021-08-01,Long_Island_Railroad,3294846.4
2021-08-01,MetroNorth,2846849.0
2021-08-01,Bus,6238307.0
2021-08-01,Bus,26682112.0
2021-08-01,Staten_Island_Railway,117585.0
2021-08-01,Subway,66418585.0
2021-09-01,Acces_A_Ride,668513.0
2021-09-01,Briges & Tunnels,27057244.0
2021-09-01,Long_Island_Railroad,3630469.4
2021-09-01,MetroNorth,3113806.39
2021-09-01,Bus,6776694.0
2021-09-01,Bus,28986728.0
2021-09-01,Staten_Island_Railway,148918.0
2021-09-01,Subway,73405353.0
2021-10-01,Acces_A_Ride,687217.0
2021-10-01,Briges & Tunnels,28079713.0
2021-10-01,Long_Island_Railroad,3940612.0
2021-10-01,MetroNorth,3630216.8
2021-10-01,Bus,7297676.0
2021-10-01,Bus,30875205.0
2021-10-01,Staten_Island_Railway,167411.0
2021-10-01,Subway,83415225.0
2021-11-01,Acces_A_Ride,644716.0
2021-11-01,Briges & Tunnels,26841772.0
2021-11-01,Long_Island_Railroad,3949969.0
2021-11-01,MetroNorth,3615782.61
2021-11-01,Bus,6891506.0
2021-11-01,Bus,28904472.0
2021-11-01,Staten_Island_Railway,182918.0
2021-11-01,Subway,82331344.0
2021-12-01,Acces_A_Ride,635911.0
2021-12-01,Briges & Tunnels,26015011.0
2021-12-01,Long_Island_Railroad,3684025.38
2021-12-01,MetroNorth,3247340.02
2021-12-01,Bus,6655299.0
2021-12-01,Bus,27519169.0
2021-12-01,Staten_Island_Railway,164787.0
2021-12-01,Subway,78633267.0
2022-01-01,Acces_A_Ride,558704.0
2022-01-01,Briges & Tunnels,22027385.0
2022-01-01,Long_Island_Railroad,2750138.2
2022-01-01,MetroNorth,2364890.6
2022-01-01,Bus,5589772.0
2022-01-01,Bus,23255396.0
2022-01-01,Staten_Island_Railway,137590.0
2022-01-01,Subway,63547386.0
2022-02-01,Acces_A_Ride,620161.0
2022-02-01,Briges & Tunnels,23453884.0
2022-02-01,Long_Island_Railroad,3180252.5
2022-02-01,MetroNorth,2793314.5
2022-02-01,Bus,5935627.0
2022-02-01,Bus,24780919.0
2022-02-01,Staten_Island_Railway,145316.0
2022-02-01,Subway,70027806.0
2022-03-01,Acces_A_Ride,770886.0
2022-03-01,Briges & Tunnels,27361079.0
2022-03-01,Long_Island_Railroad,4371239.0
2022-03-01,MetroNorth,3979431.0
2022-03-01,Bus,7435153.0
2022-03-01,Bus,30731752.0
2022-03-01,Staten_Island_Railway,194498.0
2022-03-01,Subway,87296932.0
2022-04-01,Acces_A_Ride,752442.0
2022-04-01,Briges & Tunnels,27396543.0
2022-04-01,Long_Island_Railroad,4170714.8
2022-04-01,MetroNorth,3941430.6
2022-04-01,Bus,6927147.0
2022-04-01,Bus,28964843.0
2022-04-01,Staten_Island_Railway,160878.0
2022-04-01,Subway,83458044.0
2022-05-01,Acces_A_Ride,768510.0
2022-05-01,Briges & Tunnels,28870275.0
2022-05-01,Long_Island_Railroad,4468669.800000001
2022-05-01,MetroNorth,4114316.56
2022-05-01,Bus,7217396.0
2022-05-01,Bus,30454123.0
2022-05-01,Staten_Island_Railway,180045.0
2022-05-01,Subway,87807398.0
2022-06-01,Acces_A_Ride,784853.0
2022-06-01,Briges & Tunnels,28850283.0
2022-06-01,Long_Island_Railroad,4847813.6
2022-06-01,MetroNorth,4459818.2
2022-06-01,Bus,7154058.0
2022-06-01,Bus,29809526.0
2022-06-01,Staten_Island_Railway,176302.0
2022-06-01,Subway,88064005.0
2022-07-01,Acces_A_Ride,773269.0
2022-07-01,Briges & Tunnels,28709393.0
2022-07-01,Long_Island_Railroad,4511503.159999999
2022-07-01,MetroNorth,4136190.33
2022-07-01,Bus,6722847.0
2022-07-01,Bus,28225901.0
2022-07-01,Staten_Island_Railway,136617.0
2022-07-01,Subway,80700784.0
2022-08-01,Acces_A_Ride,837770.0
2022-08-01,Briges & Tunnels,29193767.0
2022-08-01,Long_Island_Railroad,4760161.0
2022-08-01,MetroNorth,4277245.0
2022-08-01,Bus,7011539.81
2022-08-01,Bus,29190291.15
2022-08-01,Staten_Island_Railway,145974.8
2022-08-01,Subway,83116207.0
2022-09-01,Acces_A_Ride,816047.0
2022-09-01,Briges & Tunnels,28141660.0
2022-09-01,Long_Island_Railroad,4997250.800000001
2022-09-01,MetroNorth,4686434.93
2022-09-01,Bus,7339892.0
2022-09-01,Bus,30439385.0
2022-09-01,Staten_Island_Railway,184153.0
2022-09-01,Subway,91067002.0
2022-10-01,Acces_A_Ride,828460.0
2022-10-01,Briges & Tunnels,28333321.0
2022-10-01,Long_Island_Railroad,4943908.4
2022-10-01,MetroNorth,4830785.4
2022-10-01,Bus,7399768.0
2022-10-01,Bus,30686448.0
2022-10-01,Staten_Island_Railway,185090.0
2022-10-01,Subway,95228073.0
2022-11-01,Acces_A_Ride,826608.0
2022-11-01,Briges & Tunnels,26910144.0
2022-11-01,Long_Island_Railroad,4778906.24
2022-11-01,MetroNorth,4654532.0600000005
2022-11-01,Bus,7065112.0
2022-11-01,Bus,29015658.0
2022-11-01,Staten_Island_Railway,188105.0
2022-11-01,Subway,90951945.0
2022-12-01,Acces_A_Ride,815894.0
2022-12-01,Briges & Tunnels,27056085.0
2022-12-01,Long_Island_Railroad,4759964.800000001
2022-12-01,MetroNorth,4614889.01
2022-12-01,Bus,6811073.0
2022-12-01,Bus,27538720.0
2022-12-01,Staten_Island_Railway,174585.0
2022-12-01,Subway,92159883.0
2023-01-01,Acces_A_Ride,829178.0
2023-01-01,Briges & Tunnels,25739508.0
2023-01-01,Long_Island_Railroad,4632770.8
2023-01-01,MetroNorth,4474398.88
2023-01-01,Bus,6895416.0
2023-01-01,Bus,28312599.0
